Feature,Importance
Fwd Packet Length Max,0.1930719010750635
Init_Win_bytes_forward,0.10074252727391084
Total Length of Fwd Packets,0.09611454102776314
Total Fwd Packets,0.07949663036057783
act_data_pkt_fwd,0.07692610034623977
Bwd Packet Length Max,0.07113782054594023
Destination Port,0.06363930190192185
Bwd Packet Length Min,0.05828960085331577
Bwd IAT Total,0.034232567517224116
Init_Win_bytes_backward,0.03155945032340465
URG Flag Count,0.025260632649581366
Fwd Packet Length Min,0.025006863112253433
Bwd Packets/s,0.02134096829929031
min_seg_size_forward,0.013728313160131546
Down/Up Ratio,0.011862311030895141
Flow Bytes/s,0.011771465862503732
Bwd IAT Std,0.011174544113852521
Max Packet Length,0.010784643581398976
Flow Duration,0.01044055849881359
Bwd IAT Mean,0.009783419462183057
Min Packet Length,0.00913731194793805
PSH Flag Count,0.007826924475126186
Flow Packets/s,0.007327858676843067
Flow IAT Mean,0.006189148412333002
Fwd IAT Min,0.004894554584132328
ACK Flag Count,0.004004933932149352
Flow IAT Min,0.0018473951806756814
Active Mean,0.0011201777452802253
Active Std,0.0008286291525710941
Idle Std,0.00019632967660775447
FIN Flag Count,0.00018961224783832812
Fwd PSH Flags,7.296297223970478e-05
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bulk Rate,0.0
Bwd URG Flags,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd URG Flags,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
CWE Flag Count,0.0
Bwd PSH Flags,0.0
RST Flag Count,0.0
Fwd Avg Bulk Rate,0.0
